user,timestamp_raw,timestamp_date,comment,like_count,reply_count,reply_text
,8 bulan yang lalu,8 bulan yang lalu,I know this game is getting a ton of hate but you guys have to understand that this is Ubisoft's last chance to stay in business so it's extra important that we all band together as a group and don't buy it,0,57,"['Well said!', 'Wow that comment was a 180. I agree tho', ""Don't worry I stopped after Odyssey, the last big game they made that was actually good"", ' @JimmyHopkins1208 odyssey and origin were ass and ultimately were the foundation for how garbage the series continued to be. They should have just stuck to the og gameplay style they totally scrapped after syndicate.', 'Just don’t criticize the game too much cause now Ubislop is suing everyone. They know their game is a flop so this is their only hope of making a profit: suing the customers', ""@Andayrew  yeah but nobody wants to hear that. Tbh origins and up aren't assassin's creed and have no business sharing the namesake"", ""Game looks fun and that's the main purpose of video games. To have fun"", "" @jony958  okay, where's the fun then??"", ""@jony958  I've been watching twitch streams off it for a while now and it's absolutely awful. Horrible story, horrible characters, horrible voice acting, horrible combat, and horrible AI"", 'Absolutely right. Ubisoft chose this, and needs to go down. It will send a huge ripple through the industry to stop pandering to ESG funding from outsiders. We all need to spread the word to not buy this game.', ' @Andayrew origins was the last good “Assassins Creed” game', ' @mikeOxPhat  You mean Syndicate?', '@Andayrew nah Odyssey was only for the cultured who saw how clever and humorous all the interactions were throughout the game. After that was downhill. Your hate just shows how little you paid attention.', 'Why am I supposed to hate this game again?', ' @krsnirvan  horrible writing, horrible voice acting, way too many cut scenes, boring repetitive fetch quests, terrible combat, and awful AI', ""@krsnirvan  it's garbage. Quality crap and bugs galore. No story or depth. Lack of decent mechanics."", 'I mean wanting people loose Thier Jobs is Not that nice but i agree the ceos have to Change for better', "" @laserlandslide  you haven't even played the game yet."", ' @kodhal8817  quit acting like you played the game.', 'Got us in the first half ngl', 'you sir are truly an inspiring individual. ive never thought i had the power to do this before. thanks, dad!', ' @Andayrew  Origins was amazing. Top 3 in the series.', "" @jony958  if you think it is, then go ahead and vote with your wallet. For me though, I'm not liking what I see, so I'll wait for further reviews."", 'Lul', '', 'Honestly guys, cant lie. Mirage looks fun. Are you guys disappointed with that? I can wait for ubisoft to flop', "" @SixBowlSage Not at all. You didn't play the old ones"", '', ' @laserlandslide sums up perfectly the whole saga since 2014', 'Had me in the first half ngl', '@ I have eyes and watched streamers play. The first 10 hours of the game is constant cut scenes that are really boring and lifeless. And fight is just button mashing the same 3 keys with no strategy.', ' @mikeOxPhat AC 3/Black flag (and the pirate one is the begining of the fall)', ""@theintern7054  Mirage does actually seem to be a return to form and like it might be fun. But I never bought and played it. Most people are like me and just assume it's bad because it's new assCreed"", 'had me going for a second there :p', ' @Pinguin2422  I hate my kind so they deserve to lose their job.', ' @Andayrew  Origins is a top 3 AC game, easily.', 'That was unexpected one.i agree thi', ' oh, dude, the first half, NGL', ' @jony958 dude the price we pay fr game nowdays is nt fr fun', 'Naw, you gotta hate people more than they hate you.  Cause more tears than you cry.', 'You nearly had me going there Ha!', 'Had me in the first half was about to lose my mind on you', 'No problem there.', 'Going to buy it now', ""Some of the upper folks at ubi company hoping to sell it anyways I bet. Shame what's happening in the gaming industry, greed and pathetic bs"", 'Because less choice is better for all of us! The ps5 and xbox are swimming in games lately. /s', '', 'well Yosuke simulator is About to Trempled that Last Wind Of Ubisoft had.', 'Hahaha', ""Don't forget all the micro transactions on a $70 + game "", 'na, they still make money off of the crew. so they got that going for em on ps5 cause horizon is on xbox........wait a min....oh no', ""And that's why more of us are banding together and buying it!!!"", ""If you guys don't buy it they'll release it on ps4"", 'Correct!!!', ' @Andayrew  tf origins was amazing. One of my favorite games ever ...', 'Well unlucky. It already has as much sales as AC odyssey in preorder, which is completely fucking stupid, but they won’t be going out of business anytime soon', '']"
,8 bulan yang lalu,8 bulan yang lalu,"“Life is too short to play a game that is just ‘ok I guess’”.  Amen brother, the older I get, the more I relate to this",0,0,[]
,8 bulan yang lalu,8 bulan yang lalu,"Gameranx doesn't trashtalk games, but when you hear ""just fine"" and ""on paper"" ,ya know what it means",0,0,[]
,7 bulan yang lalu,7 bulan yang lalu,"Can’t wait for Assassin’s Creed: Australia Outback, where you assassinate hundreds of Emus in the Emu War.",820,0,[]
,8 bulan yang lalu,8 bulan yang lalu,"""Life is too short to spend time on something just, ok"". I AGREE. Man, our time is valuable. My back log of Great Games awaits..",0,0,[]
,8 bulan yang lalu,8 bulan yang lalu,"""Rizzless"" is not a word I was expecting from a game review from gameranx",0,0,[]
,8 bulan yang lalu,8 bulan yang lalu,Before you buy: for 90% off 3 months later.,0,0,[]
,7 bulan yang lalu (diedit),7 bulan yang lalu (diedit),"One thing i REALLY adore about ezio trilogy was that we got to play ezio’s journey as he was getting older, we saw him being an naive person that doesn’t care about anything but fun and turns into a guy with wisdom, we saw him learn things, become more calmer as he gets older, and that really means a lot to me to a certain level that when you complete revelation you feel completed, that it’s done and you don’t need another ezio game cause ezio’s path was completed and he finally fulfilled what he didn’t understand back in end of ac2, we need more games like this, like create a character, and make his/her story interesting, make us connect with the character",154,0,[]
,8 bulan yang lalu,8 bulan yang lalu,"70 bucks for a ""just fine"" game doesn't cut it anymore. They raised the prices, I raised my expectations for paying said price.",0,0,[]
,8 bulan yang lalu,8 bulan yang lalu,Ubisoft needs to get comfortable with not selling their games,0,0,[]
